,class_4FGL,Flux1000,PL_Index,LP_Index,LP_SigCurv,PLEC_ExpfactorS,PLEC_Flux_Density,Frac_Variability
1841,Soft,2.337744e-10,2.0993395,2.0777639999999997,0.40712425,0.04241051,2.8195587000000002e-14,0.0
1842,bcu-bll-fsrq-agn,7.0536785e-11,2.0323173999999997,2.0215197,3.130998,3.7231348,6.839961e-15,0.0
1843,bcu-bll-fsrq-agn,1.8907167e-10,1.8339822000000001,1.8142691000000002,2.3671796,0.2869796,3.7917529999999996e-15,0.6166991999999999
1844,Soft,1.6369176e-09,2.1471992,2.1068544,1.8947973000000002,0.017433122,1.4613856000000002e-12,0.16204864
1846,Soft,2.308841e-10,2.6850490000000002,3.0005919999999997,3.3289616,0.9435459999999999,9.514555e-13,0.36316836
1847,bcu-bll-fsrq-agn,2.5156657e-10,2.327703,2.323369,0.0,-4.08627e-05,1.3616685e-13,0.3089878
1848,Soft,1.3871948e-10,2.2340832,2.1714306,0.9147431999999999,0.11288581,3.2932004000000004e-14,0.0
1850,bcu-bll-fsrq-agn,4.4753803e-10,2.13262,2.072141,1.7248081999999998,0.12350839400000001,1.885111e-13,0.3112389
1851,bcu-bll-fsrq-agn,2.6872893e-10,1.8331461,1.7149197,1.9081549999999998,0.17387088,1.2989565e-14,0.43306738
1852,Soft,1.04239575e-10,2.1214437000000004,2.1100602000000004,0.3296598,0.04574068,1.1293683e-14,0.3948997
1854,bcu-bll-fsrq-agn,1.4289906999999999e-10,1.9786843999999997,1.7554127,2.147393,0.28750452,1.7002863e-14,0.56269675
1855,Soft,5.038282e-10,2.4254860000000003,2.4058769,5.374953,0.8609859000000001,5.610590999999999e-13,0.57306385
1857,Soft,2.9503602e-10,2.4286244,2.30005,2.3885667,0.27451035,3.6382816e-13,0.0
1859,bcu-bll-fsrq-agn,3.5679426e-10,2.1747172000000004,2.0077977,2.4418714,0.13489793,2.1897237e-13,0.62187654
1861,bcu-bll-fsrq-agn,1.1003368e-10,2.1634617,2.0988338,0.9803927,0.1941974,1.6261206000000002e-14,0.0
1862,bcu-bll-fsrq-agn,2.5803285e-10,1.9282086999999999,1.8665581000000002,1.1529742,0.052048743,2.1985338e-14,0.8168754
1863,Soft,1.7177758e-10,2.5984802000000005,2.5179422000000002,1.1803023000000001,0.14212137,6.2416364e-13,0.25721279999999996
1864,bcu-bll-fsrq-agn,2.911016e-10,2.0210953000000003,1.9734111,1.2220347,0.09671903,4.0325344999999996e-14,0.0
1865,psr,1.2003094e-09,2.3747792000000003,1.9941343,9.818050999999999,1.1362014999999999,1.330957e-12,0.0
1866,bcu-bll-fsrq-agn,5.567975e-10,1.9508328000000001,1.9141103,0.82101566,0.056974445,5.728936e-14,0.088972904
1867,bcu-bll-fsrq-agn,1.1187295e-10,1.9896566000000002,2.020198,0.51001084,0.01053367,5.114864e-15,0.39636388
1869,bcu-bll-fsrq-agn,9.329049999999999e-10,2.0072072,1.9819776000000002,1.2262598,0.018954197,2.5374133999999997e-13,0.29779318
1870,Soft,2.4510963e-10,2.5918113999999997,2.6901486,3.6772733,1.1429851,6.054956999999999e-13,0.0
1871,Soft,1.602549e-10,2.5265796000000003,2.2467387000000003,3.6653955000000003,1.0343983,7.127467e-13,0.86836636
1872,bcu-bll-fsrq-agn,1.1198072e-09,1.9194669999999998,1.6388077,5.475714,0.2519458,9.709827e-14,0.38624949999999997
1873,Soft,3.341751e-10,2.431962,2.3361762,2.1879125,0.12122094,7.642048000000001e-13,0.47493222
1874,bcu-bll-fsrq-agn,3.8487424e-10,1.8829151000000002,1.6673532,2.3739904999999997,0.14608122,4.0279953999999995e-14,0.26345018
1875,bcu-bll-fsrq-agn,9.816421999999999e-11,2.0466888,1.7912337999999999,2.7520282000000003,0.79306805,1.2306736999999999e-14,0.863624
1876,bcu-bll-fsrq-agn,1.4579063e-10,2.6254106,2.6892798,1.192896,0.0040193303,2.550935e-13,0.7865218
1877,Soft,5.220407e-10,2.4759900000000004,2.3724067000000004,3.5604824999999996,0.14145009,2.461826e-12,0.7005384
1878,Soft,1.356798e-10,2.2377088,2.1946787999999997,0.22830775,0.019443795,1.6024754e-14,0.26194629999999997
1879,Soft,2.3689345e-10,2.813827,2.6724759999999996,3.2849317000000005,0.19644292,9.6330235e-12,1.0220742
1880,bcu-bll-fsrq-agn,1.4203698e-09,1.8490933,1.7676579,2.8770955000000002,0.024367833999999998,4.6875936e-13,0.18986325
1881,bcu-bll-fsrq-agn,2.2796902000000002e-10,2.1022822999999997,2.0966084,0.71561533,0.050227717000000005,2.0160230000000002e-14,0.09526357
1882,Soft,2.221815e-10,2.1212902000000002,2.1046793,0.44455922,0.03638399,4.493988e-14,0.18937634
1883,bcu-bll-fsrq-agn,1.0653631e-10,2.1555737999999995,1.5841521,2.21211,1.0186635,1.8499579e-14,0.0
1884,Soft,1.5067592e-10,2.578675,2.4978395,1.1301763999999999,0.17593789999999998,5.6879555e-13,0.8398565
1885,bcu-bll-fsrq-agn,2.6434085e-10,2.0004911,2.0293174,0.8494473,0.0020750475,2.5111239e-14,0.3931544
1887,bcu-bll-fsrq-agn,1.8912061999999999e-10,2.1921133999999998,2.147497,1.2403038,0.0865505,3.4684715e-14,0.0
1888,bcu-bll-fsrq-agn,3.1040032e-10,2.2620883,2.017687,2.9021354,0.38044313,1.2475275e-13,0.14141652
1889,Soft,1.4707363e-09,2.19786,2.1193185000000003,4.507136,0.11202758,1.3807195e-12,0.49667788
1891,bcu-bll-fsrq-agn,2.5240246000000003e-10,2.1776628,2.0958788,1.4840744,0.12543857,4.3842747000000003e-14,0.5526772
1892,bcu-bll-fsrq-agn,1.560866e-10,2.1858093999999997,2.1829875,0.0,-0.003271645,2.1419062999999997e-14,0.0
1893,Soft,1.7520123e-10,2.6344602000000004,2.618076,1.516332,0.15734243,9.44982e-13,0.6025338000000001
1894,Soft,6.1082783e-09,2.2323817999999997,2.1259036,9.863184,0.075304985,2.2094994e-11,0.6894232
1895,Soft,2.1349212999999998e-10,2.456582,2.487149,1.07942,0.07506619999999999,6.582152e-14,0.0
1896,Soft,1.6935697e-10,2.8150005,2.64253,2.9516237000000003,0.32491509999999996,6.9956149999999996e-12,0.26530790000000004
1897,Soft,2.1168446e-10,2.592133,2.4965723,1.7016061999999998,0.17637745,8.623136e-13,0.53372186
